idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
30,29_1280_2400_7_20_19_46,16_1280_1360_7_20_14_21,7_20_20_11,0.001,32,8,80,1,131575,1.6390856504440308,0.7276986837387085,3.3640928268432617,1.7846553325653076,0.8968641757965088,3.67824125289917,2,14,0
31,30_1280_2480_7_20_20_11,16_1280_1360_7_20_14_21,7_20_20_29,0.001,32,8,80,1,135447,1.6441391706466677,0.7126450538635254,3.3529205322265625,1.7744451761245728,0.956243932247162,3.7262332439422607,5,11,0
32,31_1280_2560_7_20_20_29,16_1280_1360_7_20_14_21,7_20_20_50,0.001,32,8,80,1,139296,1.647233963012695,0.7066230773925781,3.3488128185272217,1.7826987504959106,0.8751682043075562,3.6522257328033447,6,10,0
33,32_1280_2640_7_20_20_50,16_1280_1360_7_20_14_21,7_20_21_14,0.001,32,8,80,1,143156,1.6118978261947632,0.6885348558425903,3.294196844100952,1.7572476863861084,0.8750703930854797,3.62548565864563,4,12,0
34,33_1280_2720_7_20_21_14,16_1280_1360_7_20_14_21,7_20_21_31,0.001,32,8,80,1,147037,1.6328448057174685,0.6956735849380493,3.3211007118225098,1.7483632564544678,0.8453682661056519,3.585721492767334,3,13,0
35,34_1280_2800_7_20_21_31,16_1280_1360_7_20_14_21,7_20_21_51,0.001,32,8,80,1,150852,1.6238603591918943,0.6812943816184998,3.29655122756958,1.7754545211791992,0.845935583114624,3.612189292907715,5,11,0
36,35_1280_2880_7_20_21_51,16_1280_1360_7_20_14_21,7_20_22_15,0.001,32,8,80,1,154697,1.6007250547409058,0.6897079348564148,3.280632495880127,1.763423204421997,0.840585470199585,3.593597173690796,4,12,0
37,36_1280_2960_7_20_22_15,16_1280_1360_7_20_14_21,7_20_22_32,0.001,32,8,80,1,158535,1.5755105018615725,0.66447913646698,3.228967905044556,1.736541748046875,0.831161379814148,3.556063413619995,9,7,0
38,37_2960_3040_7_20_22_32,37_2960_3040_7_20_22_32,7_20_22_55,0.001,32,8,80,1,162758,1.6355435848236084,0.6730766296386719,3.2963781356811523,1.776204228401184,0.8331577181816101,3.596509456634521,8,8,0
39,38_2960_3120_7_20_22_55,37_2960_3040_7_20_22_32,7_20_23_23,0.001,32,8,80,1,167126,1.6640450954437256,0.6867403984069824,3.3373358249664307,1.7748134136199951,0.8329229354858398,3.5936808586120605,12,4,0
40,39_3120_3200_7_20_23_23,39_3120_3200_7_20_23_23,7_20_23_41,0.001,32,8,80,1,171012,1.6886069774627686,0.6868176460266113,3.3607733249664307,1.7678837776184082,0.8192998170852661,3.5719223022460938,7,9,0
41,40_3120_3280_7_20_23_41,39_3120_3200_7_20_23_23,7_21_0_1,0.001,32,8,80,1,174789,1.6234731674194336,0.7108026146888733,3.318415880203247,1.8042088747024536,0.8431646227836609,3.630902051925659,9,7,0
42,41_3280_3360_7_21_0_2,41_3280_3360_7_21_0_2,7_21_0_27,0.001,32,8,80,1,178806,1.6560994386672974,0.7054858803749084,3.344515562057495,1.7621701955795288,0.8406339883804321,3.585124254226685,8,8,0
43,42_3280_3440_7_21_0_27,41_3280_3360_7_21_0_2,7_21_0_45,0.001,32,8,80,1,182720,1.6543551683425903,0.6882181167602539,3.324288845062256,1.8202756643295288,0.842396080493927,3.643786191940308,4,12,0
